uri,labels,speechiness,duration (ms)
spotify:track:69DR48pXzSabFUfQfDDJDb,2,0.0541,225067.0
spotify:track:5PNcJn4oFNvlRfrZBHfqWh,1,0.0474,188053.0
spotify:track:4whYDpJ5XVQpmvecbEHP5Q,1,0.0476,204187.0
spotify:track:3NgcaTIgVh77DdwAInp996,1,0.0869,189533.0
spotify:track:6NKhY15Y8QaN67bBGxRA2b,1,0.0392,146333.0
spotify:track:0El2Zyt68nYySFDG87hZgM,2,0.041,184707.0
spotify:track:56eGOeSsqdg3FLxdo83TwV,0,0.0486,198440.0
spotify:track:57gS5wJqIH6sbtBIIiioNY,1,0.0387,182947.0
spotify:track:5qCddjdPnWUfv3ijlcSXnJ,1,0.0371,214557.0
spotify:track:6dnco8haegnJYtylV26cBq,1,0.0373,251960.0
spotify:track:08tq1XcHwVt5PHXUo87i0D,1,0.0313,169920.0
spotify:track:1mffZcVGwEqf9Xbdww0kCD,1,0.0488,201467.0
spotify:track:05AURmTdmCpIaBcww1HrGn,1,0.334,205040.0
spotify:track:483beWfErq5MZAvC0fJ7cr,1,0.0332,214387.0
spotify:track:7JjymfuNMxQgOQJ4mGOdbg,1,0.0397,166800.0
spotify:track:59fi7eaSe4DuCqfua35m2W,1,0.0311,211085.0
spotify:track:09iyGiljLWRYXdRazFkdtJ,1,0.0468,196422.0
spotify:track:3UJZ4VcHfSWyrMky8vobzv,0,0.0364,204907.0
spotify:track:2xPV95cfbyusygMTxpa3SW,0,0.0319,196253.0
spotify:track:548ddxWI4sZKK1aCLuMR16,1,0.0456,242723.0
spotify:track:3kb9vlB7NCKHNHvYyp8EaL,1,0.0961,172534.0
spotify:track:5nWsaKPbHG8UpBqkaBJGrE,2,0.0479,180960.0
spotify:track:4WUduEPZZG6wiE9B5IklnY,2,0.0515,239658.0
spotify:track:7sxrWEZenpKgxDxekifRUk,2,0.0534,228471.0
spotify:track:0BAoNo4799TRKGWhgg7hMy,2,0.28,206903.0
spotify:track:35eAXKpNIwmKAqADGz3wKY,2,0.0808,188467.0
spotify:track:7hVsdXC9zRDiWFfhdmkYC8,1,0.058,205229.0
spotify:track:5sjEQjDkEYOr1RB6n5acXD,1,0.0739,219827.0
spotify:track:7fKF4HdftIEt3lLAy3rDG6,1,0.0682,215238.0
spotify:track:5X4b5yuoihfPbZMzSOhg8M,2,0.114,188267.0
spotify:track:0oZw3H6FPKh60aEFvL3q2Z,0,0.0315,225253.0
spotify:track:0UnRCKkL5LCZbaTO0kHKMk,1,0.0362,195227.0
spotify:track:3awm1x3kGmYIVrkNDBFP6U,1,0.0361,210427.0
spotify:track:3Sz51kDvFhngNDinn8WRb5,1,0.0256,223947.0
spotify:track:582EVyAFKmKPa1bVPSDurJ,2,0.0314,195987.0
spotify:track:2MXj4Y1oxBEbrvUG3Xw80G,1,0.0337,214897.0
spotify:track:0vud1aGRNlwzuVGE3AfWzs,1,0.0356,236791.0
spotify:track:6ItGPha13j36IiQlvubGrT,0,0.0301,252147.0
spotify:track:6dBZy6s7ThEQAQz49Ff2dG,0,0.0264,295680.0
spotify:track:0DcBU93zLXGRdPPbUnP1iS,0,0.028,233280.0
spotify:track:7mV04bSkXpqKyXnMHO6YwN,0,0.032,227867.0
spotify:track:4pyAfnaYh9K8BszgqxCZ1x,1,0.047,158893.0
spotify:track:3qEzgPFbtr5PZQPZ3HfZ3v,1,0.0334,251241.0
spotify:track:4AQadviQto69JLxuPUdDgP,0,0.0278,221053.0
spotify:track:4JbKTG0iQ41As64aMNKkit,0,0.0291,216200.0
spotify:track:3EF2VstbPbRUDWpGmzWP7F,1,0.0347,182373.0
spotify:track:2i7VNdupOXVbHD8R4669T7,0,0.0305,219800.0
spotify:track:7iOyMOxdOULvXqUqC26spJ,1,0.0305,194053.0
spotify:track:6ImpVOOzNrrzi5k6HiVSIk,1,0.0375,231413.0
spotify:track:324B66fyk2vci1bYXB4YnL,2,0.0875,187467.0
spotify:track:5kjaMjkQxkJYZiDSIbuIF8,2,0.0378,226000.0
spotify:track:4hqsg6viSC2UoLKUydMFOO,2,0.0493,202400.0
spotify:track:4LCOFsWBoBlGw3qf33dl5V,0,0.0296,220000.0
spotify:track:6oToe0shcqyTZ00Hgdl9ZB,1,0.0324,183787.0
spotify:track:5ucRrHQrCGDeUdL5bKFWk1,0,0.0272,195213.0
spotify:track:5VG4VvKGp6NoBC8nFTtt84,2,0.0335,236732.0
spotify:track:14A2dKF4O0kQD0E5CCX3Jc,0,0.0398,252960.0
spotify:track:4bhTJfVPynHxot7dlVNgq7,2,0.0407,253733.0
spotify:track:6XOtuSLtsnZKhvcW9DBaUL,0,0.0285,220253.0
spotify:track:6vikZR6OvVmDSSgfiQVQgm,1,0.0354,235707.0
spotify:track:1BkeuMWQzM8QNDrAqkmGBM,2,0.0464,224853.0
spotify:track:2uj7b7Kcai6vMm5OhoF4Am,1,0.0275,201467.0
spotify:track:3BuPop8SzLG2Q88TJcFAjp,1,0.0409,235507.0
spotify:track:33m6cNCpgX3oKb8xBH7iyk,1,0.0405,212245.0
spotify:track:7bNX2Fgb4MjPrYbkHaCNwV,1,0.0267,207587.0
spotify:track:0MdMNWw0rpBjQJ4SwQ0qbg,0,0.0294,209013.0
spotify:track:4shgvM4ClrZeDiflNJwlGd,1,0.0348,252933.0
spotify:track:7z73ehYAn9O1XP9XlCqVtd,1,0.0395,200880.0
spotify:track:5Sf7xPHiezqlvGKyFcOuaA,1,0.0421,265630.0
spotify:track:57IEs29xqMQaAkjQ8iQuI0,1,0.0292,198440.0
spotify:track:6QP8JgHuOi0itWXuZ6wdTM,1,0.033,185373.0
spotify:track:0c9Vl4iBLhsmzttG0X4XhY,0,0.0302,183571.0
spotify:track:5aT0NEQAFMbX5RXe6DYJQK,1,0.0531,182284.0
spotify:track:3iExRKI7vV9RrzvAuXmMTY,0,0.0633,231656.0
spotify:track:0yr1u6QnBDMb7M4nYFLLfb,0,0.0333,165703.0
spotify:track:3zQikNPCgTVnQLmj5RPn1k,0,0.0436,217714.0
spotify:track:7xvBjSznydntipiNDKOh32,1,0.0418,231267.0
spotify:track:2Vi6Ar8PteV4HmwY5SJj3Y,2,0.0467,207500.0
spotify:track:0GHXcGspv1YgHHX15vJQIb,0,0.0291,273668.0
spotify:track:0eaD3F5zUC3Bq8In11nkau,0,0.0308,160928.0
spotify:track:080xNOljajUNra8abAcUqJ,1,0.0955,230467.0
spotify:track:4uhFAUgAadvq6vTHfIkl5B,0,0.0365,236840.0
spotify:track:7M5dDVwoizHbP4jzgps0Fp,1,0.121,197727.0
spotify:track:5EXD5rXJ4IVb8g4xSwT0fc,0,0.0401,220588.0
spotify:track:1sfTdlWfcFdI7NfmcfZPii,1,0.0344,221560.0
spotify:track:5aN3Cyeoa5x4gc41HOIqeX,0,0.0311,186653.0
spotify:track:4L9l5x0WuzNtyEBeqzvgPE,2,0.177,200347.0
spotify:track:1FoCSrNyUVF00C8foohH2G,0,0.0464,230347.0
spotify:track:0TgaaBAEf84VqvdTshIdPw,0,0.0324,195012.0
spotify:track:09akcdeCiV2jIl6x9WpmxA,1,0.0515,197000.0
spotify:track:5tlu2nA8GxkDx8UTKG1rLV,0,0.0255,252302.0
spotify:track:10Ne4NBpHuzqkVAh8SYpz2,1,0.031,269000.0
spotify:track:7BXAjKfpVNGNTpV6XLVKqo,1,0.0819,160000.0
spotify:track:2NinkCNRMUA5PNu7B5Oxax,0,0.0293,180890.0
spotify:track:7bZP1hWx4jVnRUr0FgZ4nR,0,0.0331,221143.0
spotify:track:1Rqxr5PqabCXiC9fsG2TKH,0,0.047,241080.0
spotify:track:3PiLfzEXHrvT1oJKR8PAJt,1,0.274,254693.0
spotify:track:11byn9E2NCI65biHtKOLG2,1,0.0538,265830.0
spotify:track:3Kd6Wp3lG5HXMB2dlvuy7y,1,0.146,172196.0
spotify:track:6u8hSdYZxbK5EczDPRIXXf,1,0.0809,200774.0
spotify:track:0CrQOzVmcdQ4xHfGQeBRGy,1,0.36,227840.0
spotify:track:1LxKKYsJNPeBdOwdudsJzv,1,0.0489,182733.0
spotify:track:0TFVOjSvPTjFHkiZZekK5k,2,0.0499,218261.0
spotify:track:2Y43TDqgnRgVZA7RxtxEV1,1,0.326,193776.0
spotify:track:1POAx4NMLOBPVKZUSsBh92,1,0.0711,238760.0
spotify:track:0kyLcWWUVBShK8wTCUQk9D,1,0.263,225060.0
spotify:track:0Bi1amRigSOIzLc21hOH6p,1,0.0315,216635.0
spotify:track:2qLn0bnOh0QP6KCDqD03fE,1,0.315,193709.0
spotify:track:6ho88pvz4c8WCSFbdVXNia,1,0.0961,211588.0
spotify:track:4kYYdlQLMk5xm7UHxZrrQa,1,0.33,214173.0
spotify:track:0RZXNlGPvfMo54fd6uCvAT,1,0.311,205120.0
spotify:track:17Rcrd4ARqY9CkQGUFPhJS,1,0.114,159065.0
spotify:track:53DB6LJV9B8sz0p1s6tlGS,2,0.192,227773.0
spotify:track:28r8mD037GEBPG5a65YdDQ,1,0.25,214138.0
spotify:track:0nhVrTiCGiGRCoZOJiWzm1,1,0.159,214587.0
spotify:track:3BFrR2hemusNSuiuNWXUqO,1,0.0475,291500.0
spotify:track:0ORPtlRSmDasaKqmgnuMbC,1,0.107,226147.0
spotify:track:4QIyEq7TcTdAcxjI2AFlAK,1,0.412,179405.0
spotify:track:4Xp4BzZc6optsFozG6HTrg,1,0.0522,231131.0
spotify:track:0BU7nIcCZxYSE0hYcc5oZz,1,0.0974,196336.0
spotify:track:1wa6QQsdSE3X2GbRljGpFk,1,0.0817,183703.0
spotify:track:3nw9J97nUugT84SIJdjhAV,1,0.0405,244133.0
spotify:track:5UPNBWFU2TEf9kauIITfBs,1,0.136,178507.0
spotify:track:6B8pOvEZg9L1CamPMZ5OK2,1,0.344,242250.0
spotify:track:0hy1SOTEn9ifXTzOwnCwEr,1,0.203,223973.0
spotify:track:0eJOr5krUsBTTgeytfXekh,0,0.0455,224280.0
spotify:track:0zor3Hre5d5bgHGpbZHNw4,0,0.457,212000.0
spotify:track:06GZKoIc7zwrJQCZQGyT0Y,1,0.19,229587.0
spotify:track:2CJtimCSGAn8x6RE3irZFV,1,0.0389,216507.0
spotify:track:1ZV7fPAf98E8sdiZQcBdid,1,0.041,221124.0
spotify:track:0pEkK8MqbmGSX7fT8WLMbR,1,0.0335,185658.0
spotify:track:3n1HsYVwX6qMvihf5uZDKs,1,0.0391,186569.0
spotify:track:5ZzjNL4J31lqU853Un7T3f,2,0.0428,295890.0
spotify:track:7AvprzMsRJpybaalckaT8c,1,0.0911,136408.0
spotify:track:4EaBMhUIOfnFEbIgqCfKbi,1,0.0532,216133.0
spotify:track:432X5dAW1Xm5bVnVpgEtYk,1,0.0768,209885.0
spotify:track:43aktSsHN3Pgu0dzw3BS5W,1,0.0374,159789.0
spotify:track:0XoDcV08iB5T3XFbXfAghf,1,0.392,141176.0
spotify:track:1JiTWss0EJ3u084OucEvMS,1,0.0351,168097.0
spotify:track:7eYhN6ciVsXBfb7kVjmvgt,1,0.29,246413.0
spotify:track:1nZ2TI2hNPGDYyesyaaASn,2,0.0738,322227.0
spotify:track:7IBaWJgk81AoQs6K3VOJds,0,0.0389,264000.0
spotify:track:2Msuiqt9sZojSKLVZcJp1l,1,0.224,362693.0
spotify:track:5fdKX9OKPUhlU75KoGjGnw,1,0.114,171567.0
spotify:track:5DmksdbpypZd709H95ES1c,2,0.0743,313942.0
spotify:track:2S4CfxZG29GZWwDeMtBq2R,2,0.0511,199960.0
spotify:track:2bwSCIuNtVrQPVddCi8sOW,1,0.173,210320.0
spotify:track:3EYYv3zFCpA195On1McQ9c,0,0.0305,420600.0
spotify:track:30raivfq7rSt5nKltiHfzG,1,0.0279,228573.0
spotify:track:0fp7yXkUbwmM8ML6sWu6HW,1,0.188,192922.0
spotify:track:1geugZHbiGQTSrutZskQZl,0,0.0537,206947.0
spotify:track:3YbtjYddK11NTDdUpC4nGp,1,0.0554,225395.0
spotify:track:4duRCqphyoANSfH8oUl6c2,1,0.105,217520.0
spotify:track:5qNEPKqPOECw50RpOGT9ne,1,0.0643,196637.0
spotify:track:6WQyaRxqf332knjOMWUMQf,1,0.0829,213147.0
spotify:track:6KEdjhTORrn8HOVeuABlUg,1,0.0822,202632.0
spotify:track:6dyMer5WZ2hpIKNbb9fa1T,1,0.175,227999.0
spotify:track:6svak3qVN5xdaRDO1K041S,0,0.0454,243187.0
spotify:track:5bXzAgojnc0oOUO2KulQsE,1,0.0419,200213.0
spotify:track:4foJG5ZawCRSi2ZOjagsy6,1,0.0453,255253.0
spotify:track:2DGyaBNTvqMs2us23EoWVK,0,0.0351,232747.0
spotify:track:7mtiuBwNPPM1QkCtsFBBep,1,0.0434,183387.0
spotify:track:7JOizhmt3HlBgQyJEa0AgK,0,0.0336,322267.0
spotify:track:5fBYOjTnd7vhj2CHyrLx4a,1,0.0394,229360.0
spotify:track:1QVbzUYzjNYUUTViCTbTOm,2,0.138,263500.0
spotify:track:7gvCwHqyGam90gDzqIP5OM,0,0.0329,137400.0
spotify:track:7aukN9Q2B4L6yNGPBb97by,1,0.234,281143.0
spotify:track:6dqLKzSb6PBqMHAs8PhySK,2,0.0379,198320.0
spotify:track:28LJVZ5PfkIboFoW0J4GgE,0,0.0289,241787.0
spotify:track:23SrDgGLyA20VJwAj5vLog,2,0.0439,226920.0
spotify:track:5KaQzrUnjPYEJI3ajUHNat,0,0.0273,171440.0
spotify:track:22RR5raQ9x7K0e6geLdELP,1,0.0371,236267.0
spotify:track:3BLKY8w5XTehYgLb3cFZgg,0,0.203,207453.0
spotify:track:7BNwMrGifMw3pvgZHMEJaa,0,0.0394,273000.0
spotify:track:74giZwNMPKn0r537TEHHXj,1,0.141,113493.0
spotify:track:4f9F6CSTaJeMyvn1Plu89U,0,0.0473,164200.0
spotify:track:79KuYRY31usXtbFSqyc4Zb,0,0.136,105787.0
spotify:track:0s995gCthqnYJCWGvfKpNt,1,0.14,506720.0
spotify:track:0AacbmJOiFJydCRQfijNbn,2,0.0847,433373.0
spotify:track:2t3ezqieuK6RRav66q9bQF,0,0.03,305520.0
spotify:track:3TQxkQsyJS03EUwl02Qaub,0,0.0317,392800.0
spotify:track:5qW6ZYct54PhKliCntyxRX,0,0.0433,293973.0
spotify:track:4SI6ia4b6L5J1n6k42WeHC,0,0.0302,205560.0
spotify:track:03EsYwfN3RbDhU1kVrfffA,0,0.0482,296667.0
spotify:track:4CZrDF50zES5KDHmZbX2BG,1,0.0276,197440.0
spotify:track:4j6mrg4fGP1MVfOPN740VJ,0,0.0269,257080.0
spotify:track:2nww8CKg1BqCh6Eyr6sr6m,1,0.0443,294053.0
spotify:track:3NyovXfcpc8PDWWKH7xEDs,2,0.065,195173.0
spotify:track:4lb3LoC5Xa5FbL9uB0n3R9,2,0.0273,170358.0
spotify:track:2JpUkUR0OsOlUUfm6iS8ic,1,0.27,230613.0
spotify:track:0FbSpY8RPxTRxi1Fpj9Dz9,1,0.098,160038.0
spotify:track:4hXDobvUaXyDFLnmecoY0z,1,0.2,195992.0
spotify:track:2GlhJyZRWP3MnSXOvnovIa,1,0.219,240213.0
spotify:track:2biNa12dMbHJrHVFRt8JyO,1,0.168,228186.0
spotify:track:4ak7xjvBeBOcJGWFDX9w5n,1,0.0324,158707.0
spotify:track:6dPyzkyZwoj9LqjQXOFdVv,1,0.305,143792.0
spotify:track:43TP6JCWXgkc2D7Xjz5hBr,1,0.238,281587.0
spotify:track:1NHlyKgtR4roNylOhidKSv,1,0.238,175711.0
spotify:track:0Se1ajfYEa51gkPKV5UgLV,2,0.032,195320.0
spotify:track:3xJj1mU7B83yop2dA03Smk,1,0.429,195056.0
spotify:track:4XiGKQqbmnMVxDzUj6j3f2,1,0.0588,189253.0
spotify:track:3wAbP40X5P9EVWkwmszInb,2,0.277,172987.0
spotify:track:0aJ2hFC6e9Z00Lx9RIRNcT,1,0.221,194936.0
spotify:track:29gsi1zZrZxdStACmTQB0Z,1,0.0433,278067.0
spotify:track:6JG0qhINKVwiHxqN85j7RG,1,0.268,278573.0
spotify:track:3YEbLhXRDPTtctnb3ddg8g,1,0.204,214851.0
spotify:track:6Dq8FZrvx9S28iyaKSwn9x,1,0.147,255102.0
spotify:track:0KiRc3f3OI9C7s0S1QjQNO,2,0.471,299107.0
spotify:track:5VANqRRzSEkEuAi4oO9yag,2,0.102,243733.0
spotify:track:4jgyACD7IpzYzTtbUr7NAT,2,0.037,216000.0
spotify:track:6AgtIN7FyBd4zJhZI7mrsz,1,0.0323,195893.0
spotify:track:1fnULsZuORnAgCFFbM8nTZ,2,0.0605,205653.0
spotify:track:28oPZqIeMSGCA9Kwc75j78,0,0.0293,234133.0
spotify:track:4Bxl1qty34HSOKZrRjyj0s,2,0.18,203529.0
spotify:track:6FeAcc5HLkMdM55tNL2wf8,2,0.0449,238240.0
spotify:track:5Z5k7MQotAckv0S3ZA9dXa,2,0.0419,197333.0
spotify:track:2mYMAJGoauv6LYCpzIOGBi,2,0.0452,205627.0
spotify:track:6JGsVW1nxNaoUAGcOKFZGS,2,0.0354,237787.0
spotify:track:6eMGp0jmEbFxy42ZnyzsLJ,2,0.0946,266867.0
spotify:track:0B1Iqqq8wVoXM5R5glHQES,2,0.0676,217920.0
spotify:track:2dogWSSYkP7dZyZ6KTt4bq,0,0.0273,545733.0
spotify:track:7axVaL2WO7cC3fXxtd9Zlj,2,0.0743,285307.0
spotify:track:1ECcwLhP63lbKSNKuswrNL,2,0.0514,242493.0
spotify:track:6qgyI5w3BRRpnWMwmYO8W7,2,0.0689,308720.0
spotify:track:7yniOnkRyjMmFXleGkG1ON,2,0.128,233587.0
spotify:track:3KAS4vmuvRGP2BUQcxmu5i,2,0.0727,163067.0
spotify:track:5uywMR3hTeVPoWaFDSliJb,2,0.0495,210187.0
spotify:track:5vBuxtwitUimHR2gBOnJYR,2,0.067,204480.0
spotify:track:0ZITmDKp01oRCzifItydpK,2,0.246,209949.0
spotify:track:4tPiirllSFpbeXRzOHUOai,2,0.0789,193293.0
spotify:track:01T0Kq5YOIRF9BQRXJsyfe,2,0.0559,217893.0
spotify:track:5sSiF7LQQJrfYTAnn22D24,2,0.0796,234381.0
spotify:track:1OBMSzh2ocRqK2gUFaMBSM,2,0.034,215560.0
spotify:track:1gtHjIoQIU5XIcRGjn7DfH,1,0.133,202720.0
spotify:track:1rxQi3iI4AKbWm04MV1UOr,2,0.0572,208627.0
spotify:track:7eNCd5hipdcUscAHTguegq,2,0.0484,230027.0
spotify:track:3aSUhKMYQkfEOjkdBwWcoC,2,0.0576,360360.0
spotify:track:20vUoaDskVhjYMsNMryrD0,2,0.0782,348573.0
spotify:track:1ylzYcU6FGnuBqqdqqH7QL,0,0.0295,240333.0
spotify:track:5mT8aQv538JCa51xF7K5RX,0,0.0362,303400.0
spotify:track:4I3UW5JYREwCdFoAp0EumB,0,0.0341,388107.0
spotify:track:1CbG6oKKrYEw3W1DnddDFv,0,0.038,286667.0
spotify:track:6S50xSUj3HNQ7DeV8FRmD9,2,0.0395,271027.0
spotify:track:5eJBLSElrA5kBn4Xvkr5RL,2,0.0454,182288.0
spotify:track:0JqoWsqZNhmUidgll7C7HQ,2,0.0484,174973.0
spotify:track:1fFNSZQFnnPMLzGYZfs0jk,1,0.0491,233667.0
spotify:track:0b0n8tVTaD1QrU5hK4YZHW,1,0.128,170771.0
spotify:track:382QN9BKDfw4omKUWWevj8,2,0.427,79765.0
spotify:track:6qwEeAl6Cl32odNr2GIMjm,2,0.458,94235.0
spotify:track:1TlJuD7pVQnzBtcUNoumP8,1,0.143,126000.0
spotify:track:7l5GAw0cglUUnN7bKAz5ab,1,0.323,139870.0
spotify:track:6kRxT8sggyNJ6mYoSKTwCh,1,0.179,135074.0
spotify:track:5MLlfYP9uZUGqsaPtUAVQe,1,0.247,97057.0
spotify:track:0EB5fgdGQXZOiOMdRhKeCZ,2,0.297,200072.0
spotify:track:6AbPoUOuQ0T6m1QPMLhocK,2,0.168,128000.0
spotify:track:7LppL4kjj3GnYcnL0SC9sc,2,0.311,139143.0
spotify:track:4VwZ9jqqM8rl5SqjdxHVka,1,0.224,145380.0
spotify:track:6BgIRM4cFnHEUAIGlqFDEA,1,0.0568,106755.0
spotify:track:3bpR5jv8uzraDgq5YpHwDw,2,0.181,85895.0
spotify:track:5po4XqNwlBnXXAYLtRcvpT,1,0.148,130500.0
spotify:track:3dUXPkCP34x762v8cOJTRt,1,0.198,120981.0
spotify:track:5T3Zp5M8wLSZWljc6ia94X,2,0.0345,126915.0
spotify:track:2PfWdbsxdEj6OKVTCRjOZQ,1,0.319,205631.0
spotify:track:68Y3zzmt2XxzheQVGbbJt4,2,0.486,632625.0
spotify:track:0KrywEwYmgdhYTYxRK5oTm,2,0.362,197000.0
spotify:track:0kiUjW1l4iUmQPYrB4mX27,1,0.306,264393.0
spotify:track:2ITg4YCRsPuP3Nc0eUX2Bn,1,0.367,370000.0
spotify:track:6r3Eb6vNIRsYSBIre0RRoq,1,0.227,139625.0
spotify:track:09riz9pAPJyYYDVynE5xxY,1,0.077,175476.0
spotify:track:7KKz4Mwcppno0RmyxwEWZa,2,0.0531,172669.0
spotify:track:00UDmkyejOcUApEqpiB90i,1,0.0453,143221.0
spotify:track:2HkzY7FmIS9SW0UHyNVWlG,1,0.0698,187454.0
spotify:track:2gkVweydDn7MmHmqXAlEzk,1,0.172,195994.0
spotify:track:75kiQfmmuQwgquZ9RLSvuA,1,0.356,158760.0
spotify:track:7zOIzXpbnCcx6iZfvOjGCQ,0,0.0749,104211.0
spotify:track:6gPqBegU4aDWoSYXeCyURA,1,0.32,220030.0
spotify:track:4cfH5f8HyhVnUbc8IGT0Rq,2,0.315,123000.0
spotify:track:13YhC0cjI1F0oQGG5VUWHJ,1,0.28,147246.0
spotify:track:6bNu7FqRJqhMQb0hAG9HGz,1,0.48,177000.0
spotify:track:0fd0ENEdQGOtSRi46JqRhB,2,0.462,296000.0
spotify:track:6DJgQkIMVL86HHxQk5yKPx,1,0.119,107797.0
spotify:track:0vBZEmFzfP2ZddT3Dv2amZ,1,0.61,118971.0
spotify:track:3E6coZX2cGtJVVfC3qeDwQ,1,0.0632,171680.0
spotify:track:1nfXSpPmkfXdXK9nOpepUL,1,0.0695,292000.0
spotify:track:7uMAZpdzZN9uzF0x8DzfbS,1,0.397,155000.0
spotify:track:3qjfuakmtd99Ii3VJNKbzy,1,0.0664,335900.0
spotify:track:6Ia3AjoJDmKuahf8VQAtP0,2,0.342,120000.0
spotify:track:3GptwqFVjCIs2iLMiGLZTA,0,0.0337,277227.0
spotify:track:6N0AnkdDFZUetw8KAGHV7e,1,0.0554,221400.0
spotify:track:6DiPkm7C3LD9XsJWTGPFgv,2,0.225,353640.0
spotify:track:55mJleti2WfWEFNFcBduhc,0,0.0302,403533.0
spotify:track:6DyywdbmTzlmXBzG9ym7Rt,0,0.0329,306853.0
spotify:track:5FdEl2UUaCaN2cC70TbLbx,2,0.126,178293.0
spotify:track:7zAt4tdL44D3VuzsvM0N8n,2,0.0798,352427.0
spotify:track:5uGsG0LfotfWDq6hql4h53,1,0.0488,282653.0
spotify:track:2PpNgmrS9mAyrkRAwn6YPq,2,0.0401,256933.0
spotify:track:0AdjJ2SaOeb5bPJ67nDbsW,0,0.0262,254293.0
spotify:track:1N0j6Gw5lmfI7kipAgYcma,2,0.0413,185413.0
spotify:track:349ROTdCkkzFlT83eJnQLK,1,0.0338,231667.0
spotify:track:7pTcdBKVWAZDbhTLcNOm4b,2,0.0396,211680.0
spotify:track:2NNNgusMpCLNlPDa02B4WC,1,0.0363,185000.0
spotify:track:65ihXYIHnjJQiJRZIXmE9l,2,0.0524,199707.0
spotify:track:2nfKBbywcgCC1yCVIShdu6,2,0.0461,197933.0
spotify:track:4vja6WDnpP5RXZwvydhiUJ,2,0.0675,215280.0
spotify:track:4QoZGQ8woaho94v629kVl1,0,0.041,199773.0
spotify:track:04ccQGJ1i8gL7JoeCPiJbv,1,0.0301,203067.0
spotify:track:3ggmtswnS5czhEAGDsm6D8,2,0.0477,212427.0
spotify:track:4BbwjVS27IuC7bvN7qzAvS,0,0.0286,236827.0
spotify:track:20WJpmXfRbqeuY2TH5xYna,2,0.0383,178190.0
spotify:track:7iM44xYu5DpsosNxVF32C9,1,0.0384,190987.0
spotify:track:4vLRCGOBz4zIS8nEHk5v9j,1,0.0367,195427.0
spotify:track:38qDc4DgEnnkr9UaRI5owP,0,0.0274,255387.0
spotify:track:4AyfPPuhqgQP6vhpjnkAIm,2,0.0432,183853.0
spotify:track:0bvEKvSwtUFIz3cTo0Otjg,2,0.0471,208507.0
spotify:track:7zKBz4iz95t09O4eCUtppj,0,0.0289,213720.0
